Item Number,Qty On Hand,Qty Backordered,Qty On Order,Item Next Availability Date,Item d (1),Item Description
AD-036,2,,,,0,Adirondack with Ottoman
BH-002,11,,,,0,Sahara 2 Seater Bench
BH-003,6,,,,0,Sahara 3 Seater Bench
BH-004O,8,,,,0,Kingston 2-Seater Bench
BH-004R,14,,,,0,Chelsea 4 Foot Round Bench
BH-004S,30,,,,0,Classic 4 Foot Straight Bench
BH-005B,18,,,,0,Mason 3Seater Backless Bench
BH-005CT,2,,,,0,5 Foot Curve Bench Extra Thick Wood
BH-005O,7,,,,0,Kingston 5Foot Oval Bench
BH-005R,1,,,,0,Chelsea 5Foot Round Bench
BH-005S,13,,,,0,Classic 5 Foot Straight Bench
BH-006S,18,,,,0,Classic 6Foot Straight Bench
BH-050RS,0,,,7/31/2022,0,4 Foot Rose Bench
BH-067B,33,,,,0,Hampton 3 Seater Backless Bench with Straight Legs
BH-1013S,2,,,,0,Sorrento Backless Bench 
BH-1043,13,,,,0,Monza 3-Seater Bench
BH-121,12,,,,0,Vilano 2-Seater Bench
BH-122,0,,,6/30/2022,0,Vilano 3-Seater Bench
BH-152SB,2,,,,0,Del Amo Storage Bench
BH-153SB,2,,,,0,Vilano Storage Bench
BH-195,3,,,,0,Marlborough 2 Seater Bench
BH-196,3,,,,0,Marlborough 3 Seater Bench
BH-202LS,0,,,7/31/2022,0,Curve Loveseat with Extra Thick Wood
BH-2059,5,,,,0,Chester 3 Seater Bench
BH-2415,20,,,,0,Seville 1-Seater Bench
BH-257,2,,,,0,Sakura Bench
BH-448B,21,,,,0,Casablanca Backless Bench
BH-459B,11,,,,0,Casablanca Backless Bench
BH-471B,10,,,,0,Casablanca 4-Seater Bench
BH-5315,1,,,,0,Seville 3-Seater Bench
BH-548,8,,,,0,Del Amo 4 Foot Bench
BH-560,7,,,,0,Del Amo 5 Foot Bench
BH-572,8,,,,0,Del Amo 6 Foot Bench
BH-5721B,14,,,,0,Sakura Backless Bench 
BH-7048B,32,,,,0,Madison Backless Bench
BH-7059B,20,,,,0,Madison 3 Seater Backless Bench
BH-705S,8,,,,0,Devonshire 3 seater Bench
BH-706S,10,,,,0,Devonshire 4 seater Bench
BH-7121PL,4,,,,0,Planter Bench 2 bench and 3 planter box
BH-7348,6,,,,0,Victoria  2 Seater Bench
BH-7359,8,,,,0,Victoria 3Seater Bench
BH-748B,15,,,,0,Cambridge Backless Bench
BH-P296,3,,,,0,Marlborough 3 Seater Bench
BS-010,6,,,,0,Altavista Folding Bar Table
CB-001,2,,,,0,Amberly Cushion Box
CB-3126,4,,,,0,Small Camrose Storage Box
CB-6226,5,,,,0,Large Camrose Storage Box 
CH-1013,2,,,,0,Sorrento Stool 
CHB-010,43,,,,0,Altavista Folding Bar Chair
CHB-014SR,2,,,,0,Astoria Bar Chair
CHB-017N,30,,,,0,Avalon Bar Chair
CHB-025R,8,,,,0,Portofino Bar Chair
CHB-100,46,,,,0,Mandalay Bar Chair
CHB-2025,53,,,,0,Sedona Bar Chair
CHB-404N,22,,,,0,New Montego Backless Bar Chair
CHB-505,6,,,,0,Winston Bar Chair
CHB-S087,1,,,,0,Rialto Swivel Bar Armchair
CHC-1515,16,,,,0,Alpine Round Counter Stool
CHC-1714,45,,,,0,Alpine Rectangular Counter Stool
CHD-005,12,,,,0,Classic Dining Armchair
CHD-006,15,,,,0,Kingston Chair
CHD-007,14,,,,0,Kingston Armchair
CHD-016,6,,,,0,Bellagio Dining Armchair with Teak Wood Arm
